type,rating,listed_in,release_year,duration_mins,cluster
0,11,289,2021,70.0,2
1,9,80,2021,1.0,0
0,7,199,2012,98.0,2
0,11,220,2021,86.0,2
0,12,366,2020,139.0,2
0,7,20,2021,111.0,0
1,11,481,2021,1.0,1
1,11,512,2021,1.0,1
0,11,200,2020,115.0,2
0,9,347,2021,102.0,2
0,6,148,2021,100.0,0
0,9,25,2013,135.0,0
0,11,281,2013,69.0,2
0,11,190,1985,95.0,2
0,9,274,2021,97.0,2
0,11,176,1993,124.0,0
0,12,326,2016,118.0,2
0,11,345,2021,115.0,2
0,11,442,2012,115.0,1
1,12,446,2021,3.0,1
1,11,234,2021,1.0,2
1,11,400,2021,2.0,1
1,11,446,2021,1.0,1
1,9,394,2009,1.0,1
0,8,322,1995,104.0,2
0,11,326,2010,106.0,2
1,9,393,2011,1.0,1
0,7,285,2021,102.0,2
0,11,281,2021,97.0,2
1,9,393,2005,1.0,1
1,12,291,2021,1.0,2
1,9,393,2013,1.0,1
1,11,393,2008,1.0,1
1,9,487,2012,7.0,1
1,14,422,2020,3.0,1
0,6,125,1992,87.0,0
0,6,125,1993,88.0,0
0,7,60,2007,114.0,0
0,8,0,2016,90.0,0
0,7,309,2002,142.0,2
0,6,133,2009,90.0,0
1,11,84,2020,1.0,0
0,8,47,1999,105.0,0
0,7,163,1986,103.0,0
0,7,337,2019,116.0,2
0,8,344,2006,113.0,2
1,9,506,2010,5.0,1
0,8,230,2007,99.0,2
1,9,80,2014,6.0,0
0,9,319,2021,96.0,2
0,7,62,2010,148.0,0
0,8,318,1999,189.0,2
0,7,185,1995,97.0,2
0,7,309,1991,102.0,2
0,6,127,1994,99.0,0
0,6,125,2015,85.0,0
0,8,20,2008,112.0,0
0,6,133,2009,91.0,0
0,7,185,2019,91.0,2
0,7,343,2003,141.0,2
0,7,41,2000,130.0,0
0,8,21,2004,98.0,0
0,8,197,2016,105.0,2
0,8,345,2013,101.0,2
0,8,20,1991,105.0,0
0,8,344,2011,118.0,2
0,7,0,2010,97.0,0
0,8,325,2004,102.0,2
0,7,513,1995,114.0,1
0,8,470,2000,111.0,1
0,7,230,2010,125.0,2
1,9,502,2021,3.0,1
0,9,326,2018,76.0,2
0,8,57,2021,118.0,0
1,14,433,2021,1.0,1
0,9,319,2014,103.0,2
1,9,104,2021,3.0,0
0,9,281,2020,114.0,2
1,9,385,2009,1.0,1
1,9,96,2021,1.0,0
1,11,483,2021,2.0,1
0,9,319,2009,95.0,2
0,11,52,2021,138.0,0
0,11,25,2021,112.0,0
0,12,220,2013,94.0,2
0,9,230,2021,102.0,2
1,14,75,2021,1.0,0
0,11,52,2021,92.0,0
0,9,274,2019,81.0,2
1,11,446,2021,1.0,1
1,9,257,2021,7.0,2
1,11,241,2021,1.0,2
1,9,506,2021,3.0,1
0,11,52,2012,143.0,0
0,9,513,2021,86.0,1
1,11,243,2021,3.0,2
1,13,422,2021,4.0,1
0,9,200,2021,132.0,2
1,11,472,2021,1.0,1
0,11,332,2019,117.0,2
1,11,156,2019,10.0,0
1,11,405,2020,4.0,1
0,8,36,2012,165.0,0
0,6,150,2021,91.0,0
